名称,所在地,ステータス,マッピングに関する特記事項,日付,開設時間,給水に関する特記事項,出典,出典に関する特記事項,都道府県,市区町村,市区町村以下,緯度,経度,出典最終確認日時,確認担当者
JA呉三高支店,広島県 江田島市 沖美町三吉 2618-2,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町三吉 2618-2,34.2582020,132.4061000,2018-08-10 0:12:20,藤田 周
沖美ふれあいセンター,広島県 江田島市 沖美町美能 833-5,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町美能 833-5,34.2566130,132.3829190,2018-08-10 0:12:20,藤田 周
関西美人酒造跡地（三吉）,広島県 江田島市 沖美町三吉 2118-1,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町三吉 2118-1,34.2516840,132.4065630,2018-08-10 0:12:20,藤田 周
高祖多目的集会所,広島県 江田島市 沖美町高祖 146-1,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町高祖 146-1,34.2596030,132.3988240,2018-08-10 0:12:20,藤田 周
美能漁業協同組合前,広島県 江田島市 沖美町美能 1010,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町美能 1010,34.2535060,132.3803220,2018-08-10 0:12:20,藤田 周
沖美市民センター,広島県 江田島市 沖美町畑 995,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町畑 995,34.2095730,132.4050500,2018-08-10 0:12:20,藤田 周
JA呉沖支店前,広島県 江田島市 沖美町岡大王 554-3,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町岡大王 554-3,34.2038950,132.4096570,2018-08-10 0:12:20,藤田 周
JA呉是長ふれあい店前,広島県 江田島市 沖美町是長 804,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町是長 804,34.2160050,132.3957530,2018-08-10 0:12:20,藤田 周
旧西中商店駐車場,広島県 江田島市 【地区名以下不明】,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,【地区名以下不明】,,,2018-08-10 0:12:20,藤田 周
第1術科学校構内,広島県 江田島市 江田島町国有無番地,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町国有無番地,34.2451770,132.4738440,2018-08-10 0:12:20,藤田 周
宮ノ原交流プラザ,広島県 江田島市 江田島町宮ノ原 2丁目21-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町宮ノ原 2丁目21-1,34.2530310,132.4608630,2018-08-10 0:12:20,藤田 周
小用みなと公園,広島県 江田島市 江田島町小用 2-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町小用 2-1,34.2494130,132.4930090,2018-08-10 0:12:20,藤田 周
海上自衛隊鷲部官舎駐車場,広島県 江田島市 江田島町鷲部 2丁目2,閉鎖,江田島町鷲部の「海上自衛隊江ノ口特借宿舎」にマッピング,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町鷲部 2丁目2,34.2340410,132.4777400,2018-08-10 0:12:20,藤田 周
能美市民センター,広島県 江田島市 能美町中町 4859-9,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,能美町中町 4859-9,34.2229563,132.4426572,2018-08-10 0:12:20,藤田 周
能美運動公園,広島県 江田島市 能美町鹿川 2041-5,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,能美町鹿川 2041-5,34.2113090,132.4442430,2018-08-10 0:12:20,藤田 周
高田桟橋駐車場南側,広島県 江田島市 能美町高田【番地以下不明】,閉鎖,「高田港待合所」付近の駐車場の南側にマッピング,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,能美町高田【番地以下不明】,34.2361110,132.4351170,2018-08-10 0:12:20,藤田 周
三高支所,広島県 江田島市 沖美町三吉 2777,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町三吉 2777,34.2585550,132.4067730,2018-08-10 0:12:20,藤田 周
旧切串中学校,広島県 江田島市 江田島町切串 1丁目11-2,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町切串 1丁目11-2,34.2839470,132.4786090,2018-08-10 0:12:20,藤田 周
旧秋月小学校,広島県 江田島市 江田島町秋月 2丁目49-53,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町秋月 2丁目49-53,34.2271480,132.4909760,2018-08-10 0:12:20,藤田 周
大柿市民センター（旧大柿公民館）,広島県 江田島市 大柿町大原 535-2,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,大柿町大原 535-2,34.1746960,132.4634820,2018-08-10 0:12:20,藤田 周
ゆめタウン江田島駐車場,広島県 江田島市 大柿町飛渡瀬 180,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,大柿町飛渡瀬 180,34.2055480,132.4728660,2018-08-10 0:12:20,藤田 周
さとうみ科学館,広島県 江田島市 大柿町深江 1073-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,大柿町深江 1073-1,34.1696370,132.4518670,2018-08-10 0:12:20,藤田 周
江田島市民センター,広島県 江田島市 中央 1丁目1-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,中央 1丁目1-1,34.2464280,132.4779020,2018-08-10 0:12:20,藤田 周
鹿川小学校,広島県 江田島市 能美町鹿川 2788,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,能美町鹿川 2788,34.2004910,132.4405090,2018-08-10 0:12:20,藤田 周
飛渡瀬消防屯所,広島県 江田島市 大柿町飛渡瀬 24−6,閉鎖,「江田島市消防団 飛渡瀬分団」にマッピング,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,大柿町飛渡瀬 24−6,34.2069930,132.4719430,2018-08-10 0:12:20,藤田 周
神村14区集会所,広島県 福山市 神村町【番地以下不明】,閉鎖,,,,水道管復旧のため終了,http://www.city.fukuyama.hiroshima.jp/site/jougesui/123811.html,リンク切れ,広島県,福山市,神村町【番地以下不明】,,,2018-08-10 0:12:30,藤田 周
奥田集会所南,広島県 福山市 神村町【番地以下不明】,閉鎖,,,,水道管復旧のため終了,http://www.city.fukuyama.hiroshima.jp/site/jougesui/123811.html,リンク切れ,広島県,福山市,神村町【番地以下不明】,34.4843860,133.2718900,2018-08-10 0:12:30,藤田 周
長者ヶ原集会所,広島県 福山市 赤坂町【番地以下不明】,閉鎖,「長者ヶ原公民館」にマッピング,,,水道管復旧のため終了,http://www.city.fukuyama.hiroshima.jp/site/jougesui/123811.html,リンク切れ,広島県,福山市,赤坂町【番地以下不明】,34.5019860,133.2863900,2018-08-10 0:12:30,藤田 周
木坂池 北東約100m,広島県 福山市 加茂町粟根【番地以下不明】,閉鎖,,,,リンク切れ,http://www.city.fukuyama.hiroshima.jp/site/jougesui/123811.html,リンク切れ,広島県,福山市,加茂町粟根【番地以下不明】,,,2018-08-10 0:12:30,藤田 周
旧原山会館,広島県 呉市 川尻町森 3丁目11-31,閉鎖,「原山会館」にマッピング,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町森 3丁目11-31,34.2362610,132.6860060,2018-08-10 0:12:50,藤田 周
川尻中学校グラウンド前,広島県 呉市 川尻町西 1丁目23-47,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町西 1丁目23-47,34.2317160,132.6929250,2018-08-10 0:12:50,藤田 周
かわじり中央会館,広島県 呉市 川尻町東 1丁目8-15,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町東 1丁目8-15,34.2354600,132.6977410,2018-08-10 0:12:50,藤田 周
久俊文化会館,広島県 呉市 川尻町久俊 2丁目10-72,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町久俊 2丁目10-72,34.2407280,132.6955520,2018-08-10 0:12:50,藤田 周
川尻グラウンド,広島県 呉市 川尻町西 1丁目22,閉鎖,,,,,"https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,呉市,川尻町西 1丁目22,34.2310470,132.6934780,2018-08-10 0:12:50,藤田 周
小用文化会館,広島県 呉市 川尻町小用 1丁目13-12,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町小用 1丁目13-12,34.2398660,132.7183960,2018-08-10 0:12:50,藤田 周
森文化会館,広島県 呉市 川尻町西 3丁目1-5,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町西 3丁目1-5,34.2335380,132.6913000,2018-08-10 0:12:50,藤田 周
まち文化会館,広島県 呉市 川尻町東 3丁目14-23,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町東 3丁目14-23,34.2375520,132.6993210,2018-08-10 0:12:50,藤田 周
久筋公園,広島県 呉市 川尻町久筋 1丁目8,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町久筋 1丁目8,34.2425420,132.7008160,2018-08-10 0:12:50,藤田 周
森・沖田地区コミュニティホーム,広島県 呉市 川尻町西 1丁目29-1,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町西 1丁目29-1,34.2298370,132.6925730,2018-08-10 0:12:50,藤田 周
西の宮地区会館,広島県 呉市 川尻町西 4丁目4-18,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町西 4丁目4-18,34.2277700,132.6894510,2018-08-10 0:12:50,藤田 周
川尻桟橋,広島県 呉市 【地区名以下不明】,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,【地区名以下不明】,,,2018-08-10 0:12:50,藤田 周
川尻小学校下駐車場,広島県 呉市 川尻町久俊 1丁目5-24,閉鎖,「川尻小学校」にマッピング,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町久俊 1丁目5-24,34.2379590,132.6932280,2018-08-10 0:12:50,藤田 周
中原公園,広島県 呉市 川尻町森 2丁目9,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町森 2丁目9,34.2352650,132.6903830,2018-08-10 0:12:50,藤田 周
川尻保健出張所,広島県 呉市 川尻町東 2丁目3-23,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町東 2丁目3-23,34.2375740,132.7016850,2018-08-10 0:12:50,藤田 周
旧斎場駐車場,広島県 呉市 【地区名以下不明】,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,【地区名以下不明】,,,2018-08-10 0:12:50,藤田 周
川尻漁業協同組合,広島県 呉市 川尻町東 1丁目7-8,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,川尻町東 1丁目7-8,34.2350040,132.6977530,2018-08-10 0:12:50,藤田 周
安浦市民センター,広島県 呉市 安浦町中央 4丁目3-2,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,安浦町中央 4丁目3-2,34.2818420,132.7441470,2018-08-10 0:12:50,藤田 周
ディスカウントドラッグコスモス安浦店,広島県 呉市 安浦町中央北 2丁目12-7,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,安浦町中央北 2丁目12-7,34.2866140,132.7401810,2018-08-10 0:12:50,藤田 周
川崎商店,広島県 呉市 梅木町 4,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,梅木町 4,34.2778690,132.5205780,2018-08-10 0:12:50,藤田 周
ポートピアパーク正面ゲート前,広島県 呉市 天応大浜 3丁目2-3,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,天応大浜 3丁目2-3,34.2908000,132.5114980,2018-08-10 0:12:50,藤田 周
吉浦小学校,広島県 呉市 吉浦中町 2丁目6-5,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,吉浦中町 2丁目6-5,34.2611150,132.5296830,2018-08-10 0:12:50,藤田 周
JR吉浦駅裏（藤和ハイタウン吉浦）,広島県 呉市 吉浦新町 1丁目5-6,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,吉浦新町 1丁目5-6,34.2564360,132.5274740,2018-08-10 0:12:50,藤田 周
瀬戸見第2公園,広島県 呉市 瀬戸見町 20,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,瀬戸見町 20,34.2495670,132.5340000,2018-08-10 0:12:50,藤田 周
港町小学校,広島県 呉市 海岸 3丁目5-30,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,海岸 3丁目5-30,34.2483530,132.5425590,2018-08-10 0:12:50,藤田 周
両城小学校,広島県 呉市 三条 2丁目15-12,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,三条 2丁目15-12,34.2475640,132.5515240,2018-08-10 0:12:50,藤田 周
天応市民センター,広島県 呉市 天応宮町 4-15,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,天応宮町 4-15,34.2873200,132.5179610,2018-08-10 0:12:50,藤田 周
片山中学校,広島県 呉市 東片山町 13-5,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,東片山町 13-5,34.2544900,132.5663420,2018-08-10 0:12:50,藤田 周
明立小学校,広島県 呉市 伏原 2丁目6-38,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,伏原 2丁目6-38,34.2546490,132.5768470,2018-08-10 0:12:50,藤田 周
長迫小学校,広島県 呉市 長迫町 12-5,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,長迫町 12-5,34.2498540,132.5775710,2018-08-10 0:12:50,藤田 周
和庄小学校,広島県 呉市 八幡町 10-7,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,八幡町 10-7,34.2423700,132.5690750,2018-08-10 0:12:50,藤田 周
東畑中学校,広島県 呉市 東畑 2丁目7-38,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,東畑 2丁目7-38,34.2533630,132.5869970,2018-08-10 0:12:50,藤田 周
旧辰川小学校,広島県 呉市 東辰川町 6-32,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,東辰川町 6-32,34.2578980,132.5725560,2018-08-10 0:12:50,藤田 周
宮原中学校,広島県 呉市 船見町 1-1,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,船見町 1-1,34.2266670,132.5552760,2018-08-10 0:12:50,藤田 周
警固屋まちづくりセンター,広島県 呉市 警固屋 2丁目222,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,警固屋 2丁目222,34.2133630,132.5443270,2018-08-10 0:12:50,藤田 周
警固屋中学校,広島県 呉市 警固屋 7丁目4-1,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,警固屋 7丁目4-1,34.1994020,132.5419410,2018-08-10 0:12:50,藤田 周
原小学校,広島県 呉市 阿賀北 4丁目3-16,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀北 4丁目3-16,34.2493610,132.5942270,2018-08-10 0:12:50,藤田 周
阿賀中央公園,広島県 呉市 阿賀中央 2丁目7,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀中央 2丁目7,34.2399070,132.5968360,2018-08-10 0:12:50,藤田 周
阿賀小学校,広島県 呉市 阿賀南 2丁目1-1,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀南 2丁目1-1,34.2332400,132.5990170,2018-08-10 0:12:50,藤田 周
県営阿賀住宅前（旧延崎小学校入口）,広島県 呉市 阿賀南 6丁目1,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀南 6丁目1,34.2300660,132.5945570,2018-08-10 0:12:50,藤田 周
旧大入小学校,広島県 呉市 阿賀南 8丁目8-20,閉鎖,,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀南 8丁目8-20,34.2116640,132.5815830,2018-08-10 0:12:50,藤田 周
呉市消防団大冠分団（阿賀南9丁目）【番地以下不明】,広島県 呉市 阿賀南 9丁目,閉鎖,Google ストリートビューで発見した消防団の建物にマッピング,,,,https://www.city.kure.lg.jp/site/jougesui/kinkyuu-dansui20180707-02.html,,広島県,呉市,阿賀南 9丁目,34.2005670,132.5663900,2018-08-10 0:12:50,藤田 周
