#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
127,ドコモショップ札内店,通常営業（ドコモ）,通常営業,ドコモ,北海道 中川郡幕別町 札内桜町 83-20,42.9202681,143.2409988,,充電,11:00 - 20:00,無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,中川郡幕別町,札内桜町 83-20
128,ドコモショップ大樹店,通常営業（ドコモ）,通常営業,ドコモ,北海道 広尾郡大樹町 西本通 98,42.489788,143.273273,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,広尾郡大樹町,西本通 98
129,ドコモショップ弟子屈店,通常営業（ドコモ）,通常営業,ドコモ,北海道 川上郡弟子屈町 高栄 1丁目1-2,43.4873059,144.4544545,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,川上郡弟子屈町,高栄 1丁目1-2
130,ドコモショップとかち中央店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 西2条南6-11,42.9253574,143.2010803,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,西2条南6-11
131,ドコモショップとかち店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 西19条南3丁目54-1,42.9182198,143.1536211,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,西19条南3丁目54-1
132,ドコモショップ中標津店,通常営業（ドコモ）,通常営業,ドコモ,北海道 標津郡中標津町 南町 3-10 東武サウスヒルズ内,43.5362531,144.9777948,,充電,9:00 - 20:00,無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,標津郡中標津町,南町 3-10 東武サウスヒルズ内
133,ドコモショップ日専連貝塚店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 貝塚 3-2-28 コープさっぽろ貝塚店内,42.9962099,144.4102242,,充電,10:00 - 19:00,無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,貝塚 3-2-28 コープさっぽろ貝塚店内
134,ドコモショップ日専連釧路店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 文苑 1丁目2-20,43.0154623,144.3895924,,充電,10:00 - 19:00,無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,文苑 1丁目2-20
135,ドコモショップ根室店,通常営業（ドコモ）,通常営業,ドコモ,北海道 根室市 幸町 1-6,43.3301703,145.5859512,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,根室市,幸町 1-6
136,ドコモショップ星が浦店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 星が浦大通2-7-12,43.0158324,144.3227655,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,星が浦大通2-7-12
137,ドコモショップ芽室店,通常営業（ドコモ）,通常営業,ドコモ,北海道 河西郡芽室町 東めむろ1条北1丁目 2番1,42.9127323,143.0695303,,充電,10:00 - 20:00,"第2水曜

【臨時営業日】
2018年10月10日（水）

【臨時休業日】
2018年10月17日（水）",,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,河西郡芽室町,東めむろ1条北1丁目 2番1
