#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
263,ソフトバンクフクハラ星が浦,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 釧路市 星が浦大通2丁目 6‐1 ぴあざフクハラ星が浦店,43.014391,144.3233381,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,釧路市,星が浦大通2丁目 6‐1 ぴあざフクハラ星が浦店
264,ソフトバンク帯広中央,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西8条南1丁目 3‐1,42.9309311,143.1907951,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西8条南1丁目 3‐1
265,ソフトバンク帯広大通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 大通南23丁目 19,42.9053157,143.2069139,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,大通南23丁目 19
266,ソフトバンク帯広西,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西21条南2丁目 27‐5,42.9179447,143.1424164,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西21条南2丁目 27‐5
267,ソフトバンク帯広白樺通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西17条南3丁目 4-9,42.9194371,143.1712862,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西17条南3丁目 4-9
268,ソフトバンク帯広稲田,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西5条南34丁目 78,42.891978,143.2010374,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西5条南34丁目 78
269,ソフトバンク北見駅前,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北見市 大通西5丁目 14,43.8014788,143.8932595,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北見市,大通西5丁目 14
270,ソフトバンク北見三輪,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北見市 東三輪4丁目 16‐143,43.797731,143.8589738,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北見市,東三輪4丁目 16‐143
271,ソフトバンク岩見沢,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 岩見沢市 十条東3丁目 1-4 五十嵐ビル1F,43.198869,141.775297,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,岩見沢市,十条東3丁目 1-4 五十嵐ビル1F
272,ソフトバンク網走,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 網走市 駒場北6丁目 1‐19,43.9996092,144.2853008,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,網走市,駒場北6丁目 1‐19
273,ソフトバンク留萌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 留萌市 花園町3丁目 1-5,43.9361543,141.6530002,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,留萌市,花園町3丁目 1-5
274,ソフトバンク苫小牧桜木,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 苫小牧市 桜木町3丁目 17‐19,42.6303418,141.5506692,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,苫小牧市,桜木町3丁目 17‐19
275,ソフトバンク苫小牧中央,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 苫小牧市 若草町3丁目 1‐2,42.6361548,141.6062717,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,苫小牧市,若草町3丁目 1‐2
276,ソフトバンク苫小牧日の出,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 苫小牧市 日の出町2丁目 14‐20,42.6494151,141.6182687,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,苫小牧市,日の出町2丁目 14‐20
277,ソフトバンク稚内,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 稚内市 潮見1丁目 8‐14,45.3958588,141.6987724,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,稚内市,潮見1丁目 8‐14
278,ソフトバンク美唄大通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 美唄市 大通東1条南4丁目 2‐20,43.3279515,141.8595847,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,美唄市,大通東1条南4丁目 2‐20
279,ソフトバンク野幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 江別市 野幌町 76‐4 北洋ビル1F,43.093284,141.5235625,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,江別市,野幌町 76‐4 北洋ビル1F
280,ソフトバンク江別,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 江別市 一番町 18‐1,43.1094552,141.5465819,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,江別市,一番町 18‐1
281,ソフトバンク紋別,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 紋別市 落石町4丁目 18-15,44.3656051,143.3355896,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,紋別市,落石町4丁目 18-15
282,ソフトバンクイオン名寄,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 名寄市 字徳田 80‐1 イオン名寄ショッピングセンター,44.3385531,142.4529257,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,名寄市,字徳田 80‐1 イオン名寄ショッピングセンター
283,ソフトバンク根室,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 根室市 花咲町3丁目17 ヒシサンホーマ内,43.3341049,145.583555,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,根室市,花咲町3丁目17 ヒシサンホーマ内
284,ソフトバンク千歳３６号,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 千歳市 錦町2丁目 20,42.822199,141.6442765,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,千歳市,錦町2丁目 20
285,ソフトバンク千歳,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 千歳市 信濃4丁目 1‐2,42.8383718,141.6374733,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,千歳市,信濃4丁目 1‐2
286,ソフトバンク滝川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 滝川市 新町3丁目 13‐8,43.5544426,141.9200776,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,滝川市,新町3丁目 13‐8
287,ソフトバンク深川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 深川市 五条 9-40,43.7181412,142.0437031,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,深川市,五条 9-40
288,ソフトバンクふらの,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 富良野市 桂木町 3‐3,43.3491584,142.3848693,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,富良野市,桂木町 3‐3
289,ソフトバンクフレスポ恵み野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 恵庭市 恵み野里美2丁目15 フレスポ恵み野3020区画,42.9053402,141.571419,,充電,18:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,恵庭市,恵み野里美2丁目15 フレスポ恵み野3020区画
290,ソフトバンク恵庭バイパス,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 恵庭市 黄金南7丁目 18ｰ3,42.8898785,141.6014654,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,恵庭市,黄金南7丁目 18ｰ3
291,ソフトバンク伊達,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 伊達市 末永町 65,42.4750088,140.8672283,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,伊達市,末永町 65
292,ソフトバンク北広島,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北広島市 美沢1丁目 1‐3,42.9853907,141.5610095,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北広島市,美沢1丁目 1‐3
293,ソフトバンク石狩手稲通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 石狩市 花川南9条1丁目 11,43.143792,141.27767,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,石狩市,花川南9条1丁目 11
294,ソフトバンクイオン上磯,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北斗市 七重浜4丁目 44‐1 ダイエー上磯店内,41.8219678,140.7110353,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北斗市,七重浜4丁目 44‐1 ダイエー上磯店内
295,ソフトバンク函館北斗,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北斗市 七重浜7丁目 10‐10,41.8187676,140.6993521,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北斗市,七重浜7丁目 10‐10
296,ソフトバンク八雲,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 二海郡八雲町 東雲町 20‐5 マックスバリュ位八雲店内,42.249933,140.2839,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,二海郡八雲町,東雲町 20‐5 マックスバリュ位八雲店内
297,ソフトバンクようてい倶知安,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 虻田郡倶知安町 南七条西1丁目 10‐2‐3,42.8948496,140.7514626,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,虻田郡倶知安町,南七条西1丁目 10‐2‐3
298,ソフトバンク余市,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 余市郡余市町 大川町8丁目 40‐1,43.192122,140.8012937,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,余市郡余市町,大川町8丁目 40‐1
299,ソフトバンク美幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 網走郡美幌町 字三橋南 3‐1,43.8256372,144.1106689,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,網走郡美幌町,字三橋南 3‐1
300,ソフトバンクマックスバリュ静内,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 日高郡新ひだか町 静内木場町1丁目 1-69,42.3402476,142.3576802,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,日高郡新ひだか町,静内木場町1丁目 1-69
301,ソフトバンク音更木野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 河東郡音更町 木野大通西12丁目 2-7,42.958162,143.2053807,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,河東郡音更町,木野大通西12丁目 2-7
302,ソフトバンク札内,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 中川郡幕別町 札内西町 40-14,42.9224788,143.236849,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,中川郡幕別町,札内西町 40-14
303,ソフトバンクフレスポ中標津,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 標津郡中標津町 東十五条南11丁目 3‐11,43.5497798,144.9955564,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,標津郡中標津町,東十五条南11丁目 3‐11
304,ワイモバイル札幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南三条西4丁目 12‐1 アルシュビルB2F,43.0569546,141.3526023,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南三条西4丁目 12‐1 アルシュビルB2F
305,ワイモバイル札幌大通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 大通西4丁目 6‐5,43.0613347,141.351571,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,大通西4丁目 6‐5
306,ワイモバイル札幌中央,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南一条西2丁目 16,43.0595961,141.3544709,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南一条西2丁目 16
307,ワイモバイルサッポロファクトリー,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 北二条東4丁目 サッポロファクトリー3条館2F,43.0650175,141.3629513,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,北二条東4丁目 サッポロファクトリー3条館2F
308,ワイモバイル札幌南２１条電車通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南21条西9丁目 2‐15,43.0311464,141.3469288,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南21条西9丁目 2‐15
309,ワイモバイル札幌山鼻,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南11条西11丁目 2‐1 M34札幌山鼻ビル1F,43.0448452,141.3427479,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南11条西11丁目 2‐1 M34札幌山鼻ビル1F
310,ワイモバイル円山,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 北4条西24丁目 2‐16,43.0622669,141.3191461,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,北4条西24丁目 2‐16
311,ワイモバイル麻生北４０条西,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 北40条西4丁目 2-5 藤井ビルN40 1F,43.1077532,141.3388274,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,北40条西4丁目 2-5 藤井ビルN40 1F
312,ワイモバイル新琴似,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 新琴似7条6丁目 5‐23 KSビル1F,43.1148111,141.3272423,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,新琴似7条6丁目 5‐23 KSビル1F
313,ワイモバイル屯田,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 屯田8条10丁目 6‐1,43.1428066,141.3231039,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,屯田8条10丁目 6‐1
314,ワイモバイルアリオ札幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北7条東9丁目 2‐20 ｱﾘｵ札幌3F,43.0711702,141.3702553,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北7条東9丁目 2‐20 ｱﾘｵ札幌3F
315,ワイモバイル環状通東,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北16条東16丁目 1‐7 NORTH 16 BLD.,43.0835822,141.3744005,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北16条東16丁目 1‐7 NORTH 16 BLD.
316,ワイモバイル札幌菊水上町,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 菊水上町1条2丁目 100‐6,43.0626909,141.3845076,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,菊水上町1条2丁目 100‐6
317,ワイモバイル地下鉄白石,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 南郷通1丁目北 5ｰ14 GoToTower南郷台1階,43.045566,141.3988414,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,南郷通1丁目北 5ｰ14 GoToTower南郷台1階
318,ワイモバイル南郷１８丁目,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 南郷通19丁目南2‐8 クリスタル85ビル1階,43.0295649,141.4352851,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,南郷通19丁目南2‐8 クリスタル85ビル1階
319,ワイモバイル札幌平岸,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市豊平区 平岸2条13丁目 3‐10,43.0274276,141.3678021,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市豊平区,平岸2条13丁目 3‐10
320,ワイモバイル琴似１条,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 琴似1条7丁目 3‐16,43.0725673,141.3006416,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,琴似1条7丁目 3‐16
321,ワイモバイル宮の沢,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 宮の沢1条1丁目 10‐19 アルファステージ宮の沢1階,43.0897059,141.2770795,,充電,19:30 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,宮の沢1条1丁目 10‐19 アルファステージ宮の沢1階
322,ワイモバイル手稲駅前,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市手稲区 前田1条12丁目1‐50 楽市ビル1F,43.1213983,141.2433177,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市手稲区,前田1条12丁目1‐50 楽市ビル1F
323,ワイモバイル札幌清田,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市清田区 清田1条4丁目 1‐37,42.9986078,141.4407862,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市清田区,清田1条4丁目 1‐37
324,ワイモバイル函館,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 美原3丁目 13‐15,41.8190583,140.7513064,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,美原3丁目 13‐15
325,ワイモバイル函館本通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 本通4丁目 17‐4,41.8000363,140.7766618,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,本通4丁目 17‐4
326,ワイモバイルポールスター函館,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 港町1丁目 2‐1,41.801707,140.7314644,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,港町1丁目 2‐1
327,ワイモバイルウイングベイ小樽,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 小樽市 築港11 ウイングベイ小樽3番街1F,43.1825605,141.0260108,,充電,18:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,小樽市,築港11 ウイングベイ小樽3番街1F
328,ワイモバイル旭川末広,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 末広東1 条2丁目49‐17,43.8023499,142.3859571,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,末広東1 条2丁目49‐17
329,ワイモバイル旭川永山,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 永山6条5丁目 8‐20,43.788316,142.4078967,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,永山6条5丁目 8‐20
330,ワイモバイルイオンモール旭川駅前,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 宮下通7丁目2‐5 イオンモール旭川駅前3階,43.7637918,142.3575047,,充電,21:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,宮下通7丁目2‐5 イオンモール旭川駅前3階
331,ワイモバイル東光,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 東光3条7丁目 1‐17,43.7524231,142.4114895,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,東光3条7丁目 1‐17
332,ワイモバイル室蘭,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 室蘭市 中島本町2丁目 8‐12,42.3540849,141.0140835,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,室蘭市,中島本町2丁目 8‐12
333,ワイモバイル釧路昭和,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 釧路市 昭和中央4丁目 9ｰ14 プロビル,43.0229665,144.3588254,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,釧路市,昭和中央4丁目 9ｰ14 プロビル
334,ワイモバイル帯広,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西8条北1丁目 6‐1,42.9313561,143.1910035,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西8条北1丁目 6‐1
335,ワイモバイル帯広西,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 帯広市 西21条南2丁目 27‐5,42.9179447,143.1424164,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,帯広市,西21条南2丁目 27‐5
336,ワイモバイル北見三輪,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北見市 東三輪4丁目 16‐143,43.797731,143.8589738,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北見市,東三輪4丁目 16‐143
337,ワイモバイル岩見沢,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 岩見沢市 十条東3丁目1‐4 五十嵐ビル1F,43.198869,141.775297,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,岩見沢市,十条東3丁目1‐4 五十嵐ビル1F
338,ワイモバイル苫小牧,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 苫小牧市 明野新町2丁目 2‐25,42.6531289,141.6270229,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,苫小牧市,明野新町2丁目 2‐25
339,ワイモバイル千歳ステーションプラザ,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 千歳市 千代田町7丁目 1789‐3 千歳ステーションプラザ1F,42.828449,141.6506465,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,千歳市,千代田町7丁目 1789‐3 千歳ステーションプラザ1F
340,ワイモバイルイオン滝川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 滝川市 東町2丁目 25‐3,43.5542374,141.9312738,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,滝川市,東町2丁目 25‐3
341,ワイモバイルフレスポ恵み野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 恵庭市 恵み野里美2丁目 15 フレスポ恵み野,42.9053402,141.571419,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,恵庭市,恵み野里美2丁目 15 フレスポ恵み野
342,ワイモバイル石狩手稲通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 石狩市 花川南9条1丁目 11,43.143792,141.27767,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,石狩市,花川南9条1丁目 11
343,ワイモバイル函館北斗,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 北斗市 七重浜7丁目 10‐10,41.8187676,140.6993521,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,北斗市,七重浜7丁目 10‐10
344,ワイモバイル音更木野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 河東郡音更町 木野大通西12丁目2-7,42.958162,143.2053807,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,河東郡音更町,木野大通西12丁目2-7
