名称,住所,営業状況,休業日,営業時間,URL,メモ,日付,都道府県,市区町村,市区町村以下
喜楽温泉,大阪府 豊中市 豊南町西 1-15-13,4 不明,金曜,15:00-25:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,豊南町西 1-15-13
重の井温泉,大阪府 豊中市 庄内西町 5-2-29,4 不明,月曜,15:00-24:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,庄内西町 5-2-29
新双葉温泉,大阪府 豊中市 豊南町南 5-3-11,1 通常営業,第2.4火曜,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,豊南町南 5-3-11
極楽温泉,大阪府 豊中市 服部寿町 2-14-5,1 通常営業,第3火曜,14:00-26:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,服部寿町 2-14-5
幸福温泉,大阪府 豊中市 蛍ヶ池 3-3-3,1 通常営業,月曜,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,蛍ヶ池 3-3-3
露天風呂たこ湯,大阪府 豊中市 曽根東町 6-7-15,1 通常営業,木曜,14:00-25:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,曽根東町 6-7-15
豊中温泉,大阪府 豊中市 本町 1-5-14,1 通常営業,木曜,15:00-23:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,本町 1-5-14
島田温泉,大阪府 豊中市 庄内栄町 1-11-1,1 通常営業,水曜,14:00-21:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,庄内栄町 1-11-1
彩都天然温泉すみれの湯,大阪府 茨木市 清水 1-30-7,3 営業休止/再開見込みなし,無休,,http://sumireno-yu.com/,,,大阪府,茨木市,清水 1-30-7
極楽湯 茨木店,大阪府 茨木市 田中町 18-18,2 営業予定,無休,,http://www.gokurakuyu.ne.jp/tempo/ibaraki/,20日は20時から22時まで内風呂のみ営業（最終受付：21時）、21日以降の営業時間は未確定,,大阪府,茨木市,田中町 18-18
ねぼけ温泉,大阪府 茨木市 中総持寺町 4-4,2 営業予定,木曜,15:15-22:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,茨木市,中総持寺町 4-4
山水温泉,大阪府 茨木市 大住町 2-3,1 通常営業,金曜,14:00-25:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,茨木市,大住町 2-3
万博 おゆば,大阪府 吹田市 千里万博公園 11-11,1 通常営業,無休,10:00-25:00,http://oyuba.com/banpaku/,,,大阪府,吹田市,千里万博公園 11-11
極楽湯 吹田店,大阪府 吹田市 岸部南 1-2-1,1 通常営業,無休,9:00-26:00（土日祝 6:00-26:00）,http://www.gokurakuyu.ne.jp/tempo/suita/,内湯のみ営業,,大阪府,吹田市,岸部南 1-2-1
新泉温泉,大阪府 吹田市 泉町 2-36-30,1 通常営業,月曜,16:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,吹田市,泉町 2-36-30
七福湯,大阪府 吹田市 泉町4-36,1 通常営業,水曜,16:00-23:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,吹田市,泉町4-36
福助温泉,大阪府 吹田市 垂水 3-1-34,1 通常営業,金曜,15:30-23:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,吹田市,垂水 3-1-34
緑湯,大阪府 吹田市 寿町 1-11,1 通常営業,水曜,16:00-23:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,吹田市,寿町 1-11
