名称（基本）,名称,緯度,経度,標高 (m),所在地,津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,状況・避難所の種類（グループ分け用）,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,更新日時,編集者
山東コミュニティセンター,（閉鎖）山東コミュニティセンター,32.9133685,130.7087734,,熊本県 熊本市北区 植木町有泉 837-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
大和コミュニティセンター,（閉鎖）大和コミュニティセンター,32.8808678,130.6716182,,熊本県 熊本市北区 植木町大和 70-25,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
菱形コミュニティセンター,（閉鎖）菱形コミュニティセンター,32.8827504,130.6599446,,熊本県 熊本市北区 植木町円台寺 176,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
北部グランド,（閉鎖）北部グランド,32.8652279,130.7028216,,熊本県 熊本市北区 下硯川町 416-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
麻生田コミュニティセンター,（閉鎖）麻生田コミュニティセンター,32.8560309,130.7487411,,熊本県 熊本市北区 清水新地 7丁目5-37,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
機能病院,（閉鎖）機能病院,32.8463218,130.7184151,,熊本県 熊本市北区 山室 6丁目8-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
清水スポーツセンター,（閉鎖）清水スポーツセンター,32.8295743,130.7287674,,熊本県 熊本市北区 清水万石 2丁目3-73,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
TKUプラザ,（閉鎖）TKUプラザ,32.8395382,130.7078558,,熊本県 熊本市北区 徳王 1-8-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
武蔵塚公園,（閉鎖）武蔵塚公園,32.843536,130.7650405,,熊本県 熊本市北区 龍田弓削,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
楠中央公園,（閉鎖）楠中央公園,32.847944,130.7566245,,熊本県 熊本市北区 楠 3丁目5,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
龍田西小学校,（閉鎖）龍田西小学校,32.828068,130.7427058,,熊本県 熊本市北区 龍田陳内 2丁目,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
武蔵コミュニティセンター,（閉鎖）武蔵コミュニティセンター,32.8543846,130.7715372,,熊本県 熊本市北区 武蔵ケ丘 5丁目15-15,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
龍田幼稚園,（閉鎖）龍田幼稚園,32.835909,130.758383,,熊本県 熊本市北区 龍田 6丁目12-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
宇土小学校,（開設中）宇土小学校,32.6838489,130.6529301,,熊本県 宇土市 高柳町 104-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
宇土東小学校,（開設中）宇土東小学校,32.6950839,130.6612154,,熊本県 宇土市 築籠町 46,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
花園小学校,（開設中）花園小学校,32.6757501,130.6823814,,熊本県 宇土市 古保里町 695,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
走潟小学校,（開設中）走潟小学校,32.7050299,130.6480742,,熊本県 宇土市 走潟町 743,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
緑川小学校,（開設中）緑川小学校,32.6934143,130.6308089,,熊本県 宇土市 野鶴町 246,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
網津小学校,（開設中）網津小学校,32.6964556,130.5995051,,熊本県 宇土市 網津町 2082-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
鶴城中学校,（開設中）鶴城中学校,32.6834324,130.6614018,,熊本県 宇土市 新小路町 151,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
花園コミュニティセンター,（開設中）花園コミュニティセンター,32.6764861,130.6810786,,熊本県 宇土市 古保里町,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
轟公民館,（開設中）轟公民館,32.6764968,130.6448419,,熊本県 宇土市 石橋町 10-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
保健センター,（開設中）保健センター,32.6798412,130.6624213,,熊本県 宇土市 南段原町 164-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
住吉漁協会議室,（開設中）住吉漁協会議室,32.7030494,130.5985414,,熊本県 宇土市 住吉町 875,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
網田小学校,（閉鎖）網田小学校,32.6668183,130.5541783,,熊本県 宇土市 下網田町 1842,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-26 08:00 +0900,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html
http://www.city.uto.kumamoto.jp/q/aview/701/13249.html",,2016-04-30 03:09:30 +0900,藤田
福祉センター,（閉鎖）福祉センター,32.6875925,130.6587553,,熊本県 宇土市 浦田町 44,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
住吉中学校,（閉鎖）住吉中学校,32.7003941,130.6102016,,熊本県 宇土市 笹原町 1700,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-25 07:00 +0900,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
網田中学校,（閉鎖）網田中学校,32.6711734,130.5499396,,熊本県 宇土市 下網田町 1120,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
宇土市民体育館,（閉鎖）宇土市民体育館,32.6842296,130.6644683,,熊本県 宇土市 旭町 504,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.uto.kumamoto.jp/q/aview/701/13182.html
http://www.city.uto.kumamoto.jp/q/aview/701/13242.html",,2016-04-30 03:09:30 +0900,藤田
郡浦市民館,（開設中）郡浦市民館,,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
不知火公民館,（開設中）不知火公民館,32.646244,130.6680998,,熊本県 宇城市 不知火町高良 2273-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
不知火中学校,（開設中）不知火中学校,32.646732,130.656729,,熊本県 宇城市 不知火町長崎 45,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
ウイングまつばせ,（開設中）ウイングまつばせ,32.6468832,130.6840654,,熊本県 宇城市 松橋町大野 85,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
希望の里サン・アビリティーズ,（開設中）希望の里サン・アビリティーズ,32.642365,130.703025,,熊本県 宇城市 松橋町豊福 1786,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,2016-04-19 18:20 +0900,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
当尾小学校,（開設中）当尾小学校,32.6577521,130.7016027,,熊本県 宇城市 松橋町曲野 1856,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
宇城市保健福祉センター,（開設中）宇城市保健福祉センター,32.6497162,130.6805072,,熊本県 宇城市 松橋町松橋 396-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
松橋小学校,（開設中）松橋小学校,32.6572934,130.6851095,,熊本県 宇城市 松橋町松橋 1666,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
豊川小学校,（開設中）豊川小学校,32.6244933,130.6791334,,熊本県 宇城市 松橋町南豊崎 582,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
ラポート,（開設中）ラポート,32.59315,130.7046583,,熊本県 宇城市 小川町江頭 80,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
海東コミュニティーセンター,（開設中）海東コミュニティーセンター,32.5855926,130.7063947,,熊本県 宇城市 小川町小川 43-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
小野部田小学校,（開設中）小野部田小学校,32.6069156,130.7189369,,熊本県 宇城市 小川町南小野 1402,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
河江小学校,（開設中）河江小学校,32.5994488,130.689026,,熊本県 宇城市 小川町新田 1675,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
小川小学校,（開設中）小川小学校,32.5818765,130.7107001,,熊本県 宇城市 小川町西北小川 1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
豊野公民館,（開設中）豊野公民館,32.6344271,130.7527145,,熊本県 宇城市 豊野町糸石 2996-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
豊野小学校,（開設中）豊野小学校,32.6351965,130.750984,,熊本県 宇城市 豊野町糸石 3016,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
豊野町コミュニティーセンター,（開設中）豊野町コミュニティーセンター,32.6440322,130.7686352,,熊本県 宇城市 豊野町巣林 309-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
三角中学校,（閉鎖）三角中学校,32.6184821,130.4940912,,熊本県 宇城市 三角町波多 2946,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-29 14:00 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
青海小学校,（閉鎖）青海小学校,32.6229914,130.5284031,,熊本県 宇城市 三角町郡浦 88,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-29 14:00 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
松合小学校,（閉鎖）松合小学校,32.6335108,130.6044013,,熊本県 宇城市 不知火町松合 1578,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-28 14:00 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
海東小学校,（閉鎖）海東小学校,32.583825,130.744917,,熊本県 宇城市 小川町南海東 2050,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,2016-04-19 19:40 +0900,2016-04-22 08:00 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
宇城市武道館,（閉鎖）宇城市武道館,32.645623,130.668683,,熊本県 宇城市 不知火町高良 2273-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,2016-04-19 19:40 +0900,2016-04-21 16:00 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
不知火小学校体育館,（閉鎖）不知火小学校体育館,32.645094,130.6629223,,熊本県 宇城市 不知火町高良 1952,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-19 18:20 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
豊福小学校体育館,（閉鎖）豊福小学校体育館,32.6347542,130.7003593,,熊本県 宇城市 松橋町豊福 1604,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-19 18:20 +0900,,,http://www.city.uki.kumamoto.jp/q/aview/137/10295.html,,2016-04-30 03:15:00 +0900,藤田
砥用中学校,（開設中）砥用中学校,32.6202456,130.8675658,,熊本県 下益城郡美里町 原町 330,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.town.kumamoto-misato.lg.jp/q/aview/997/3621.html,,2016-04-30 03:16:00 +0900,藤田
美里町中央庁舎,（開設中）美里町中央庁舎,32.6179597,130.8650745,,熊本県 下益城郡美里町 1100,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.town.kumamoto-misato.lg.jp/q/aview/997/3621.html,,2016-04-30 03:16:00 +0900,藤田
御船町カルチャーセンター,（詳細不明）御船町カルチャーセンター,32.715085,130.8014026,,熊本県 上益城郡御船町 木倉 1168,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
御船中学校体育館,（詳細不明）御船中学校体育館,32.7128269,130.8024748,,熊本県 上益城郡御船町 辺田見 55,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
七滝中央小学校体育館,（詳細不明）七滝中央小学校体育館,32.734595,130.8538812,,熊本県 上益城郡御船町 上野 1500,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
木倉小学校体育館,（詳細不明）木倉小学校体育館,32.7184375,130.8066633,,熊本県 上益城郡御船町 木倉 954,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
高木小学校体育館,（詳細不明）高木小学校体育館,32.7379076,130.7915663,,熊本県 上益城郡御船町 高木 1633,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
下高野公民館 ,（詳細不明）下高野公民館 ,32.737166,130.792373,,熊本県 上益城郡御船町 高木下高野,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
上高野公民館 ,（詳細不明）上高野公民館 ,32.734573,130.793296,,熊本県 上益城郡御船町 高木上高野,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
滝尾小学校体育館,（詳細不明）滝尾小学校体育館,32.7048505,130.8281789,,熊本県 上益城郡御船町 滝尾 934-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
昭和保育園,（詳細不明）昭和保育園,32.7110963,130.7958391,,熊本県 上益城郡御船町 御船 779,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
西木倉公民館,（詳細不明）西木倉公民館,32.7188457,130.8047495,,熊本県 上益城郡御船町 木倉 1023-19,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-04-30 04:39:10 +0900,藤田 周
