名称,名称（基本）,所在地,緯度,経度,標高 (m),津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,避難所の種類・状況,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,確認日時,編集者
（閉鎖）松橋老人福祉センター,松橋老人福祉センター,熊本県 宇城市 松橋町豊福 1786,32.642846,130.702952,39.70084763,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,2016-06-30 17:00 +0900,,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）ラポート,ラポート,熊本県 宇城市 小川町江頭 80,32.59315,130.7046583,2.57241416,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）河江コミュニティセンター,河江コミュニティセンター,熊本県 宇城市 小川町南新田 476,32.598658,130.693859,2.035686493,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,2016-05-18 17:00 +0900,,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）豊野公民館,豊野公民館,熊本県 宇城市 豊野町糸石 2996-1,32.6344271,130.7527145,69.49261475,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）ウイングまつばせ,ウイングまつばせ,熊本県 宇城市 松橋町大野 85,32.6468832,130.6840654,5.180791855,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-06-30 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）小野部田小学校,小野部田小学校,熊本県 宇城市 小川町南小野 1402,32.6069156,130.7189369,10.49994087,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-18 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）宇城市保健福祉センター,宇城市保健福祉センター,熊本県 宇城市 松橋町松橋 396-1,32.6497162,130.6805072,12.47381401,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,不明,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）郡浦地区市民館,郡浦地区市民館,熊本県 宇城市 三角町中村 1152,32.6256,130.520555,3.124103546,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,開設：2016-04-29 14:00 +0900,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）不知火公民館,不知火公民館,熊本県 宇城市 不知火町高良 2273-1,32.646244,130.6680998,3,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）当尾小学校,当尾小学校,熊本県 宇城市 松橋町曲野 1856,32.6577521,130.7016027,34.10490799,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）松橋小学校,松橋小学校,熊本県 宇城市 松橋町松橋 1666,32.6572934,130.6851095,10.63067245,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）豊川小学校,豊川小学校,熊本県 宇城市 松橋町南豊崎 582,32.6244933,130.6791334,1.204148173,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）海東コミュニティーセンター,海東コミュニティーセンター,熊本県 宇城市 小川町小川 43-2,32.5855926,130.7063947,9.569766998,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）河江小学校,河江小学校,熊本県 宇城市 小川町新田 1675,32.5994488,130.689026,4.61163187,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）小川小学校,小川小学校,熊本県 宇城市 小川町西北小川 1,32.5818765,130.7107001,13.25426102,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）豊野小中学校,豊野小中学校,熊本県 宇城市 豊野町糸石 3534,32.6375,130.749535,63.39098358,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-08 17:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）豊野町コミュニティーセンター,豊野町コミュニティーセンター,熊本県 宇城市 豊野町巣林 309-1,32.6440322,130.7686352,63.84859848,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-04 18:00+0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）不知火中学校,不知火中学校,熊本県 宇城市 不知火町長崎 45,32.646732,130.656729,5.303118706,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-30 17:00+0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）三角中学校,三角中学校,熊本県 宇城市 三角町波多 2946,32.6184821,130.4940912,28.45577431,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-29 14:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）青海小学校,青海小学校,熊本県 宇城市 三角町郡浦 88,32.6229914,130.5284031,26.12024879,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-29 14:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）松合小学校,松合小学校,熊本県 宇城市 不知火町松合 1578,32.6335108,130.6044013,20.0829277,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-28 14:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）海東小学校,海東小学校,熊本県 宇城市 小川町南海東 2050,32.583825,130.744917,37.43294907,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,2016-04-19 19:40 +0900,2016-04-22 08:00 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）不知火小学校体育館,不知火小学校体育館,熊本県 宇城市 不知火町高良 1952,32.645094,130.6629223,2.209601879,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-19 18:20 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）豊福小学校体育館,豊福小学校体育館,熊本県 宇城市 松橋町豊福 1604,32.6347542,130.7003593,17.49240494,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-19 18:20 +0900,,,"http://www.city.uki.kumamoto.jp/q/aview/137/10295.html
http://www.city.uki.kumamoto.jp/q/aview/701/10295.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）御船町カルチャーセンター,御船町カルチャーセンター,熊本県 上益城郡御船町 木倉 1168,32.715085,130.8014026,16.43416786,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）御船中学校体育館,御船中学校体育館,熊本県 上益城郡御船町 辺田見 55,32.7128269,130.8024748,18.13622856,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）七滝中央小学校体育館,七滝中央小学校体育館,熊本県 上益城郡御船町 上野 1500,32.734595,130.8538812,280.2091675,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）木倉小学校体育館,木倉小学校体育館,熊本県 上益城郡御船町 木倉 954,32.7184375,130.8066633,20.67784691,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）高木小学校体育館,高木小学校体育館,熊本県 上益城郡御船町 高木 1633,32.7379076,130.7915663,39.86474609,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）下高野公民館 ,下高野公民館 ,熊本県 上益城郡御船町 高木下高野,32.737166,130.792373,43.21752167,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）上高野公民館 ,上高野公民館 ,熊本県 上益城郡御船町 高木上高野,32.734573,130.793296,47.88798141,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）滝尾小学校体育館,滝尾小学校体育館,熊本県 上益城郡御船町 滝尾 934-1,32.7048505,130.8281789,54.29092407,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）昭和保育園,昭和保育園,熊本県 上益城郡御船町 御船 779,32.7110963,130.7958391,18.79927826,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）西木倉公民館,西木倉公民館,熊本県 上益城郡御船町 木倉 1023-19,32.7188457,130.8047495,16.9509201,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）御船小学校,御船小学校,熊本県 上益城郡御船町 滝川 3,32.7147127,130.8002554,19.41132355,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）水越小学校,水越小学校,熊本県 上益城郡御船町 水越 2449-4,32.6865804,130.8693875,328.0985413,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）小坂小学校,小坂小学校,熊本県 上益城郡御船町 小坂 2193-2,32.7265027,130.7749202,33.0331955,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）御船高校,御船高校,熊本県 上益城郡御船町 木倉 1253,32.7152239,130.8051162,17.75813866,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）木倉公民館,木倉公民館,熊本県 上益城郡御船町 木倉 812-1,32.7210623,130.8119518,32.07440948,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）北田代公民館,北田代公民館,熊本県 上益城郡御船町 大字田代 748-1,32.7549988,130.891006,335.8980408,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）今城公民館,今城公民館,熊本県 上益城郡御船町 滝川 681,32.7201064,130.7870533,9.880755424,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）下梅木公民館,下梅木公民館,熊本県 上益城郡御船町 滝尾下梅木,32.7062642,130.8350949,104.1749496,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（詳細不明）県農業研究センター茶業研究所,県農業研究センター茶業研究所,熊本県 上益城郡御船町 滝尾 5450,32.702098,130.8291595,93.71980286,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://portal.kumamoto-net.ne.jp/town_mifune/kinkyu/pub/default.asp?c_id=11,,2016-07-10 22:57 +0900,藤田 周
（閉鎖）【指定】嘉島町 町民体育館,嘉島町 町民体育館,熊本県 上益城郡嘉島町 上島 926,32.7416563,130.7562424,7.005836964,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,401,2016-05-21 08:00 +0900,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）嘉島町 町民体育館駐車場,嘉島町 町民体育館駐車場,熊本県 上益城郡嘉島町 上島 926,32.741712,130.756698,6.756441593,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,30,2016-05-21 08:00 +0900,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）【自主】嘉島東小学校駐車場,嘉島東小学校駐車場,熊本県 上益城郡嘉島町 上六嘉 2063,32.7490587,130.7675,11.25549698,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,自主,自主・閉鎖,,,70,2016-05-21 08:00 +0900,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（閉鎖）【自主】井寺公民館,井寺公民館,熊本県 上益城郡嘉島町 井寺 2889,32.7529,130.77759,16.47949982,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,自主,自主・閉鎖,,,15,2016-05-21 08:00 +0900,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】嘉島中学校グラウンド,嘉島中学校グラウンド,熊本県 上益城郡嘉島町 上島 887,32.742671,130.757192,5.965157986,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,避難者数は、嘉島中学校グラウンド、嘉島町役場駐車場、嘉島町民会館駐車場の合計,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】嘉島町役場駐車場,嘉島町役場駐車場,熊本県 上益城郡嘉島町 上島 530,32.740291,130.757356,6.101866245,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,避難者数は、嘉島中学校グラウンド、嘉島町役場駐車場、嘉島町民会館駐車場の合計,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】嘉島町民会館駐車場,嘉島町民会館駐車場,熊本県 上益城郡嘉島町 上島 545,32.740124,130.758519,6.027302742,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,避難者数は、嘉島中学校グラウンド、嘉島町役場駐車場、嘉島町民会館駐車場の合計,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】嘉島西小学校駐車場,嘉島西小学校駐車場,熊本県 上益城郡嘉島町 上島 1919-2,32.7428173,130.7416102,8,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】子育て支援センター,子育て支援センター,熊本県 上益城郡嘉島町 上島 551,32.740779,130.758439,6.005536556,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】東老人憩いの家,東老人憩いの家,熊本県 上益城郡嘉島町 上六嘉 2431-2,32.7438648,130.7694724,7.182492733,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,出典元には「上六嘉老人憩いの家」と記載,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】北甘木公園,北甘木公園,熊本県 上益城郡嘉島町 北甘木 771,32.743674,130.78409,11.64492798,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】下六嘉公民館,下六嘉公民館,熊本県 上益城郡嘉島町 下六嘉 3592,32.751292,130.769779,14.32441235,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
（詳細不明）【自主】文化センター,文化センター,熊本県 上益城郡嘉島町 上六嘉 917,32.735487,130.764115,12.46376705,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,自主,自主・詳細不明,,,,,"http://www.town.kashima.kumamoto.jp/q/aview/52/794.html#hinanjo
http://www.town.kashima.kumamoto.jp/q/aview/55/824.html",,2016-07-10 22:57 +0900,藤田 周
